creative_id,campaign_id,creative_name,format,bitrate_kbps,duration_sec
CR-000001,CMP-001,CMP-001 Creative 1,Live,5766,30
CR-000002,CMP-001,CMP-001 Creative 2,VOD,12147,15
CR-000003,CMP-001,CMP-001 Creative 3,Live,13764,30
CR-000004,CMP-002,CMP-002 Creative 1,VOD,10144,15
CR-000005,CMP-002,CMP-002 Creative 2,Live,10704,15
CR-000006,CMP-002,CMP-002 Creative 3,VOD,5760,30
CR-000007,CMP-003,CMP-003 Creative 1,Live,15889,60
CR-000008,CMP-003,CMP-003 Creative 2,VOD,12364,30
CR-000009,CMP-003,CMP-003 Creative 3,Live,6414,60
CR-000010,CMP-004,CMP-004 Creative 1,VOD,8849,30
CR-000011,CMP-004,CMP-004 Creative 2,Live,10523,15
CR-000012,CMP-004,CMP-004 Creative 3,VOD,9140,60
CR-000013,CMP-005,CMP-005 Creative 1,Live,14420,30
CR-000014,CMP-005,CMP-005 Creative 2,VOD,6738,30
CR-000015,CMP-005,CMP-005 Creative 3,Live,7759,60
CR-000016,CMP-006,CMP-006 Creative 1,VOD,7204,30
CR-000017,CMP-006,CMP-006 Creative 2,Live,7954,30
CR-000018,CMP-006,CMP-006 Creative 3,VOD,14287,15
CR-000019,CMP-007,CMP-007 Creative 1,Live,6880,60
CR-000020,CMP-007,CMP-007 Creative 2,VOD,12319,60
CR-000021,CMP-007,CMP-007 Creative 3,Live,5444,30
CR-000022,CMP-008,CMP-008 Creative 1,VOD,19639,60
CR-000023,CMP-008,CMP-008 Creative 2,Live,13110,30
CR-000024,CMP-008,CMP-008 Creative 3,VOD,10539,60
CR-000025,CMP-009,CMP-009 Creative 1,Live,9318,60
CR-000026,CMP-009,CMP-009 Creative 2,VOD,7153,60
CR-000027,CMP-009,CMP-009 Creative 3,Live,9294,60
CR-000028,CMP-010,CMP-010 Creative 1,VOD,10282,15
CR-000029,CMP-010,CMP-010 Creative 2,Live,7179,15
CR-000030,CMP-010,CMP-010 Creative 3,VOD,10612,15
CR-000031,CMP-011,CMP-011 Creative 1,Live,9210,15
CR-000032,CMP-011,CMP-011 Creative 2,VOD,10363,15
CR-000033,CMP-011,CMP-011 Creative 3,Live,14450,30
CR-000034,CMP-012,CMP-012 Creative 1,VOD,11925,15
CR-000035,CMP-012,CMP-012 Creative 2,Live,9441,15
CR-000036,CMP-012,CMP-012 Creative 3,VOD,9698,15
CR-000037,CMP-013,CMP-013 Creative 1,Live,14074,15
CR-000038,CMP-013,CMP-013 Creative 2,VOD,12257,15
CR-000039,CMP-013,CMP-013 Creative 3,Live,6373,30
CR-000040,CMP-014,CMP-014 Creative 1,VOD,13920,15
CR-000041,CMP-014,CMP-014 Creative 2,Live,10551,30
CR-000042,CMP-014,CMP-014 Creative 3,VOD,13433,15
CR-000043,CMP-015,CMP-015 Creative 1,Live,12134,15
CR-000044,CMP-015,CMP-015 Creative 2,VOD,6271,15
CR-000045,CMP-015,CMP-015 Creative 3,Live,9286,60
CR-000046,CMP-016,CMP-016 Creative 1,VOD,6847,15
CR-000047,CMP-016,CMP-016 Creative 2,Live,8863,30
CR-000048,CMP-016,CMP-016 Creative 3,VOD,8041,30
CR-000049,CMP-017,CMP-017 Creative 1,Live,12839,60
CR-000050,CMP-017,CMP-017 Creative 2,VOD,12377,30
CR-000051,CMP-017,CMP-017 Creative 3,Live,8311,15
CR-000052,CMP-018,CMP-018 Creative 1,VOD,5541,30
CR-000053,CMP-018,CMP-018 Creative 2,Live,5719,15
