advertiser_id,name,industry,tier
ADV-001,Coca-Cola,CPG,Gold
ADV-002,Samsung,Tech,Platinum
ADV-003,Geico,Insurance,Gold
ADV-004,Nike,Retail,Gold
ADV-005,Apple,Tech,Platinum
ADV-006,Toyota,Automotive,Platinum
ADV-007,McDonald's,QSR,Gold
ADV-008,Verizon,Telecom,Enterprise
ADV-009,Amazon,E-commerce,Platinum
ADV-010,Microsoft,Tech,Platinum
ADV-011,Procter & Gamble,CPG,Enterprise
ADV-012,Unilever,CPG,Gold
ADV-013,AT&T,Telecom,Enterprise
ADV-014,T-Mobile,Telecom,Gold
ADV-015,Ford,Automotive,Gold
ADV-016,Chevrolet,Automotive,Gold
ADV-017,BMW,Automotive,Platinum
ADV-018,Audi,Automotive,Platinum
ADV-019,Budweiser,CPG,Gold
ADV-020,Pepsi,CPG,Platinum
ADV-021,Gatorade,CPG,Silver
ADV-022,State Farm,Insurance,Enterprise
ADV-023,Progressive,Insurance,Gold
ADV-024,Allstate,Insurance,Gold
ADV-025,Capital One,Financial Services,Platinum
ADV-026,Chase,Financial Services,Enterprise
ADV-027,American Express,Financial Services,Platinum
ADV-028,Visa,Financial Services,Enterprise
ADV-029,Mastercard,Financial Services,Enterprise
ADV-030,Target,Retail,Enterprise
ADV-031,Walmart,Retail,Enterprise
ADV-032,Home Depot,Retail,Gold
ADV-033,Lowe's,Retail,Gold
ADV-034,Best Buy,Retail,Gold
ADV-035,Expedia,Travel,Gold
ADV-036,Booking.com,Travel,Silver
ADV-037,Delta Air Lines,Travel,Gold
ADV-038,American Airlines,Travel,Gold
ADV-039,Marriott,Travel,Platinum
ADV-040,Hilton,Travel,Gold
ADV-041,Subway,QSR,Silver
ADV-042,Domino's,QSR,Silver
ADV-043,KFC,QSR,Silver
ADV-044,Burger King,QSR,Silver
ADV-045,Starbucks,QSR,Gold
ADV-046,Dunkin',QSR,Silver
ADV-047,Spotify,Entertainment,Gold
ADV-048,YouTube Premium,Entertainment,Platinum
ADV-049,Uber,Tech,Gold
ADV-050,Lyft,Tech,Silver
ADV-051,Coca-Cola,CPG,Gold
ADV-052,Samsung,Tech,Platinum
ADV-053,Geico,Insurance,Gold
ADV-054,Nike,Retail,Gold
ADV-055,Apple,Tech,Platinum
ADV-056,Toyota,Automotive,Platinum
ADV-057,McDonald's,QSR,Gold
ADV-058,Verizon,Telecom,Enterprise
ADV-059,Amazon,E-commerce,Platinum
ADV-060,Microsoft,Tech,Platinum
ADV-061,Procter & Gamble,CPG,Enterprise
ADV-062,Unilever,CPG,Gold
ADV-063,AT&T,Telecom,Enterprise
ADV-064,T-Mobile,Telecom,Gold
ADV-065,Ford,Automotive,Gold
ADV-066,Chevrolet,Automotive,Gold
ADV-067,BMW,Automotive,Platinum
ADV-068,Audi,Automotive,Platinum
ADV-069,Budweiser,CPG,Gold
ADV-070,Pepsi,CPG,Platinum
ADV-071,Gatorade,CPG,Silver
ADV-072,State Farm,Insurance,Enterprise
ADV-073,Progressive,Insurance,Gold
ADV-074,Allstate,Insurance,Gold
ADV-075,Capital One,Financial Services,Platinum
ADV-076,Chase,Financial Services,Enterprise
ADV-077,American Express,Financial Services,Platinum
ADV-078,Visa,Financial Services,Enterprise
ADV-079,Mastercard,Financial Services,Enterprise
ADV-080,Target,Retail,Enterprise
ADV-081,Walmart,Retail,Enterprise
ADV-082,Home Depot,Retail,Gold
ADV-083,Lowe's,Retail,Gold
ADV-084,Best Buy,Retail,Gold
ADV-085,Expedia,Travel,Gold
ADV-086,Booking.com,Travel,Silver
ADV-087,Delta Air Lines,Travel,Gold
ADV-088,American Airlines,Travel,Gold
ADV-089,Marriott,Travel,Platinum
ADV-090,Hilton,Travel,Gold
ADV-091,Subway,QSR,Silver
ADV-092,Domino's,QSR,Silver
ADV-093,KFC,QSR,Silver
ADV-094,Burger King,QSR,Silver
ADV-095,Starbucks,QSR,Gold
ADV-096,Dunkin',QSR,Silver
ADV-097,Spotify,Entertainment,Gold
ADV-098,YouTube Premium,Entertainment,Platinum
ADV-099,Uber,Tech,Gold
ADV-100,Lyft,Tech,Silver
ADV-101,Coca-Cola,CPG,Gold
ADV-102,Samsung,Tech,Platinum
ADV-103,Geico,Insurance,Gold
ADV-104,Nike,Retail,Gold
ADV-105,Apple,Tech,Platinum
ADV-106,Toyota,Automotive,Platinum
ADV-107,McDonald's,QSR,Gold
ADV-108,Verizon,Telecom,Enterprise
ADV-109,Amazon,E-commerce,Platinum
ADV-110,Microsoft,Tech,Platinum
ADV-111,Procter & Gamble,CPG,Enterprise
ADV-112,Unilever,CPG,Gold
ADV-113,AT&T,Telecom,Enterprise
ADV-114,T-Mobile,Telecom,Gold
ADV-115,Ford,Automotive,Gold
ADV-116,Chevrolet,Automotive,Gold
ADV-117,BMW,Automotive,Platinum
ADV-118,Audi,Automotive,Platinum
ADV-119,Budweiser,CPG,Gold
ADV-120,Pepsi,CPG,Platinum
ADV-121,Gatorade,CPG,Silver
ADV-122,State Farm,Insurance,Enterprise
ADV-123,Progressive,Insurance,Gold
ADV-124,Allstate,Insurance,Gold
ADV-125,Capital One,Financial Services,Platinum
ADV-126,Chase,Financial Services,Enterprise
ADV-127,American Express,Financial Services,Platinum
ADV-128,Visa,Financial Services,Enterprise
ADV-129,Mastercard,Financial Services,Enterprise
ADV-130,Target,Retail,Enterprise
ADV-131,Walmart,Retail,Enterprise
ADV-132,Home Depot,Retail,Gold
ADV-133,Lowe's,Retail,Gold
ADV-134,Best Buy,Retail,Gold
ADV-135,Expedia,Travel,Gold
ADV-136,Booking.com,Travel,Silver
ADV-137,Delta Air Lines,Travel,Gold
ADV-138,American Airlines,Travel,Gold
ADV-139,Marriott,Travel,Platinum
ADV-140,Hilton,Travel,Gold
ADV-141,Subway,QSR,Silver
ADV-142,Domino's,QSR,Silver
ADV-143,KFC,QSR,Silver
ADV-144,Burger King,QSR,Silver
ADV-145,Starbucks,QSR,Gold
ADV-146,Dunkin',QSR,Silver
ADV-147,Spotify,Entertainment,Gold
ADV-148,YouTube Premium,Entertainment,Platinum
ADV-149,Uber,Tech,Gold
ADV-150,Lyft,Tech,Silver
ADV-151,Coca-Cola,CPG,Gold
ADV-152,Samsung,Tech,Platinum
ADV-153,Geico,Insurance,Gold
ADV-154,Nike,Retail,Gold
ADV-155,Apple,Tech,Platinum
ADV-156,Toyota,Automotive,Platinum
ADV-157,McDonald's,QSR,Gold
ADV-158,Verizon,Telecom,Enterprise
ADV-159,Amazon,E-commerce,Platinum
ADV-160,Microsoft,Tech,Platinum
ADV-161,Procter & Gamble,CPG,Enterprise
ADV-162,Unilever,CPG,Gold
ADV-163,AT&T,Telecom,Enterprise
ADV-164,T-Mobile,Telecom,Gold
ADV-165,Ford,Automotive,Gold
ADV-166,Chevrolet,Automotive,Gold
ADV-167,BMW,Automotive,Platinum
ADV-168,Audi,Automotive,Platinum
ADV-169,Budweiser,CPG,Gold
ADV-170,Pepsi,CPG,Platinum
ADV-171,Gatorade,CPG,Silver
ADV-172,State Farm,Insurance,Enterprise
ADV-173,Progressive,Insurance,Gold
ADV-174,Allstate,Insurance,Gold
ADV-175,Capital One,Financial Services,Platinum
ADV-176,Chase,Financial Services,Enterprise
ADV-177,American Express,Financial Services,Platinum
ADV-178,Visa,Financial Services,Enterprise
ADV-179,Mastercard,Financial Services,Enterprise
ADV-180,Target,Retail,Enterprise
